sampleId	accession	fq
CGG_2_14703	CGG_2_14703-lib-043	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3B_CAGCTA-GACTTC_L007_R1_004_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-044	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3C_ACATAC-GACTTC_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-045	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3C_ACATAC-GACTTC_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-046	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3C_ACATAC-GACTTC_L007_R1_002_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-047	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3C_ACATAC-GACTTC_L007_R1_002_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-048	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3D_TGAGCC-GACTTC_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-049	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3D_TGAGCC-GACTTC_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-050	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3D_TGAGCC-GACTTC_L007_R1_002_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-051	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3D_TGAGCC-GACTTC_L007_R1_002_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-052	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3E_GCCAAT-TAGCGA_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-053	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3E_GCCAAT-TAGCGA_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-054	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3F_AGCATG-TAGCGA_L007_R1_001_20170202_hiseq6b.trim.fq.gz
